Date,Region,Sales Territory Key,Conditions,Precipitation (in),Snow (in),Max Temperature,Average Temperature,Min Temperature
2016-01-01,Australia,9,Clear,0,0,77,55.66666667,59
2016-01-01,Australia,9,Rain,0.01,0,,,
2016-01-01,Canada,6,Clear,0,0,40,18.6,30
2016-01-01,Canada,6,Rain,0.03,0,,,
2016-01-01,Canada,6,Snow,0.03,1,,,
2016-01-01,Central,3,Clear,0,0,43,,22
2016-01-01,France,7,Clear,0,0,48,44,40
2016-01-01,France,7,Rain,0.04,0,47,43,39
2016-01-01,Germany,8,Clear,0,0,37,35,32
2016-01-01,Northeast,2,Clear,0,0,43,37.5,31
2016-01-01,Northeast,2,Rain,0.01,0,,,
2016-01-01,Northwest,1,Clear,0,0,40,,24
2016-01-01,Northwest,1,Rain,0.2,0,38,,32
2016-01-01,Southeast,5,Clear,0,0,85,,73
2016-01-01,Southeast,5,Rain,0.21,0,84,78,74
2016-01-01,Southwest,4,Clear,0,0,50,47,41
2016-01-01,Southwest,4,Rain,0.1,0,,,
2016-01-01,United Kingdom,10,Clear,0,0,,,
2016-01-01,United Kingdom,10,Rain,0.6,0,51,41,34
2016-01-02,Australia,9,Clear,0,0,76,57,56
2016-01-02,Canada,6,Clear,0,0,40,20.2,25
2016-01-02,Canada,6,Rain,0.23,0,47,,42
2016-01-02,Central,3,Clear,0,0,47,,24
2016-01-02,France,7,Clear,0,0,,,
2016-01-02,France,7,Rain,0.14,0,52,48,44
2016-01-02,Germany,8,Clear,0,0,34,25.5,17
2016-01-02,Northeast,2,Clear,0,0,39,34,28
2016-01-02,Northeast,2,Snow,,2,46,,23
2016-01-02,Northwest,1,Clear,0,0,41,,24
2016-01-02,Northwest,1,Rain,0.12,0,40,,28
2016-01-02,Southeast,5,Clear,0,0,84,,71
2016-01-02,Southeast,5,Rain,0.19,0,84,77,71
2016-01-02,Southwest,4,Clear,0,0,,,
2016-01-02,Southwest,4,Rain,0.85,0,47,46,42
2016-01-02,United Kingdom,10,Clear,0,0,,,
2016-01-02,United Kingdom,10,Rain,0.83,0,49,50,39
2016-01-03,Australia,9,Clear,0,0,76,55.66666667,58
2016-01-03,Australia,9,Rain,0.01,0,41,,31
2016-01-03,Canada,6,Clear,0,0,33,15.2,16
2016-01-03,Canada,6,Rain,0.68,0,84,,71
2016-01-03,Central,3,Clear,0,0,42,,21
2016-01-03,France,7,Clear,0,0,,,
2016-01-03,France,7,Rain,0.5,0,48,45,43
2016-01-03,Germany,8,Clear,0,0,18,14,11
2016-01-03,Northeast,2,Clear,0,0,41,36,27
2016-01-03,Northeast,2,Rain,1.87,0,38,37,26
2016-01-03,Northwest,1,Clear,0,0,38,,27
2016-01-03,Northwest,1,Rain,0.06,0,36,,24
2016-01-03,Northwest,1,Snow,0.55,4,35,,29
2016-01-03,Southeast,5,Clear,0,0,82,,69
2016-01-03,Southeast,5,Rain,4.16,0,81,73,66
2016-01-03,Southwest,4,Clear,0,0,61,48,33
2016-01-03,Southwest,4,Rain,12.16,0,45,,40
2016-01-03,United Kingdom,10,Clear,0,0,,,
2016-01-03,United Kingdom,10,Rain,1.41,0,51,46,41
2016-01-04,Australia,9,Clear,0,0,72,52.66666667,57
2016-01-04,Australia,9,Rain,0.81,0,38,,36
2016-01-04,Canada,6,Clear,0,0,32,12.6,13
2016-01-04,Canada,6,Rain,0.93,0,81,,64
2016-01-04,Canada,6,Snow,0.29,0,,,
2016-01-04,Central,3,Clear,0,0,28,,20
2016-01-04,France,7,Clear,0,0,49,44,41
2016-01-04,France,7,Rain,0.33,0,51,45,43
2016-01-04,Germany,8,Clear,0,0,20,15,11
2016-01-04,Northeast,2,Clear,0,0,37,30,19
2016-01-04,Northeast,2,Rain,1.76,0,38,36,34
2016-01-04,Northeast,2,Snow,0,0,31,,16
2016-01-04,Northwest,1,Rain,10.38,0,38,,29
2016-01-04,Northwest,1,Snow,2.32,14,33,,30
2016-01-04,Southeast,5,Clear,0,0,72,,61
2016-01-04,Southeast,5,Rain,5.03,0,77,66,62
2016-01-04,Southwest,4,Clear,0,0,58,44,34
2016-01-04,Southwest,4,Rain,0.02,0,,,
2016-01-04,United Kingdom,10,Rain,0.45,0,51,45,42
2016-01-05,Australia,9,Clear,0,0,74,48.5,56
2016-01-05,Australia,9,Rain,2.18,0,69,69,55
2016-01-05,Canada,6,Clear,0,0,36,16,21
2016-01-05,Canada,6,Rain,0.22,0,,,
2016-01-05,Central,3,Clear,0,0,41,,18
2016-01-05,France,7,Clear,0,0,49,45,42
2016-01-05,France,7,Rain,0.04,0,48,44,41
2016-01-05,France,7,Snow,0.01,0,,,
2016-01-05,Germany,8,Clear,0,0,,17,
2016-01-05,Germany,8,Rain,1.21,0,19,17,15
2016-01-05,Northeast,2,Clear,0,0,27,16,6
2016-01-05,Northeast,2,Rain,2.02,0,43,38,37
2016-01-05,Northeast,2,Snow,0.26,5,28,,6
2016-01-05,Northwest,1,Clear,0,0,,,
2016-01-05,Northwest,1,Rain,10.48,0,41,,33
2016-01-05,Northwest,1,Snow,0.18,0,,,
2016-01-05,Southeast,5,Clear,0,0,70,,61
2016-01-05,Southeast,5,Rain,0.82,0,71,65,59
2016-01-05,Southwest,4,Clear,0,0,57,41,31
2016-01-05,United Kingdom,10,Rain,0.17,0,49,46,41
2016-01-06,Australia,9,Clear,0,0,75,68,57
2016-01-06,Australia,9,Rain,1.88,0,70,35,54
2016-01-06,Canada,6,Clear,0,0,18,7.75,5
2016-01-06,Canada,6,Rain,0.48,0,63,,55
2016-01-06,Canada,6,Snow,0.02,0,,,
2016-01-06,Central,3,Clear,0,0,,,
2016-01-06,Central,3,Rain,0.54,0,39,,32
2016-01-06,Central,3,Snow,0.11,0,,,
2016-01-06,France,7,Clear,0,0,,,
2016-01-06,France,7,Rain,0.05,0,50,46,44
2016-01-06,Germany,8,Clear,0,0,,17,
2016-01-06,Germany,8,Rain,0.44,0,19,18,16
2016-01-06,Northeast,2,Clear,0,0,37,37,12
2016-01-06,Northeast,2,Rain,1.67,0,49,,35
2016-01-06,Northeast,2,Snow,0.04,1,,,
2016-01-06,Northwest,1,Clear,0,0,49,,33
2016-01-06,Northwest,1,Rain,10.75,0,41,,37
2016-01-06,Southeast,5,Clear,0,0,,,
2016-01-06,Southeast,5,Rain,2.97,0,72,69,62
2016-01-06,Southwest,4,Clear,0,0,54,,37
2016-01-06,Southwest,4,Rain,1.41,0,53,49,46
2016-01-06,United Kingdom,10,Rain,1.28,0,49,44,40
2016-01-07,Australia,9,Clear,0,0,70,64.5,55
2016-01-07,Australia,9,Rain,0.57,0,58,39,47
2016-01-07,Canada,6,Clear,0,0,34,12,18
2016-01-07,Canada,6,Rain,0.52,0,74,,62
2016-01-07,Canada,6,Snow,0.18,1,18,11,5
2016-01-07,Central,3,Clear,0,0,,,
2016-01-07,Central,3,Rain,2.91,0,44,,37
2016-01-07,France,7,Clear,0,0,,,
2016-01-07,France,7,Rain,0.21,0,54,46.5,43
2016-01-07,Germany,8,Clear,0,0,,22,
2016-01-07,Germany,8,Rain,1.51,0,28,22,18
2016-01-07,Northeast,2,Clear,0,0,43,37,18
2016-01-07,Northeast,2,Rain,0.64,0,,,
2016-01-07,Northwest,1,Clear,0,0,43,,32
2016-01-07,Northwest,1,Rain,0.59,0,,,
2016-01-07,Southeast,5,Clear,0,0,76,68,62
2016-01-07,Southeast,5,Rain,2.83,0,73,,62
2016-01-07,Southwest,4,Clear,0,0,72,56,49
2016-01-07,Southwest,4,Rain,13.41,0,51,,45
2016-01-07,United Kingdom,10,Clear,0,0,,,
2016-01-07,United Kingdom,10,Rain,0.38,0,49,45,41
2016-01-08,Australia,9,Clear,0,0,70,65,55
2016-01-08,Australia,9,Rain,0.17,0,43,39,33
2016-01-08,Canada,6,Clear,0,0,41,5,26
